Author(s),Year/Info,n,r,rxx,ryy,,School Type
Clariana,2013,620,0.084,0.62,0.82,,College
Fezatte,,310,0.07,0.89,0.819,,College
"Williams, Nathanson & Paulhus",,249,0.09,0.86,0.73,,College
"Williams, Nathanson & Paulhus",,107,0.08,0.88,0.57,,College
Gallagher,,208,0.13,0.79,0.8,,College
Jackson et al.,Gau,107,-0.04,0.83,0.75,,College
DeBruin,2006 (Gau),258,0.175,0.8242,0.795,*,College
Karim,Gau,252,0.085,0.782,0.92,,College
Aslam,Gau,932,-0.071,0.494,0.867,,College
Marcus,Gau,430,0.13,0.886,0.929,,College
Clark,,220,0.03,0.9,0.8,real,College
Giluk,,377,0.06,0.8242,0.795,,
Nguyen,,278,0.1,0.91,0.77,,College
Noel,,302,0.01,0.8242,0.795,,College
Salgado,,406,-0.21,0.89,0.87,,College
Stanescu,,252,0.03,0.89,0.951,,College
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
