Author(s),Year/Info,n,r,rxx,ryy,School Type
Donat et al.,,179,-0.04,0.64,0.75,High School
Donat et al.,,203,0.03,0.64,0.77,High School
Fezatte,,310,-0.03,0.92,0.819,College
"Williams, Nathanson, & Paulhus",,249,0.08,0.83,0.73,College
"Williams, Nathanson, & Paulhus",,107,-0.04,0.8,0.57,College
Gallagher,,207,0.17,0.79,0.8,College
Jackson et al.,Gau,107,0.11,0.88,0.75,College
Clariana,2013,620,0.126,0.76,0.82,College
Karim,Gau,252,0.105,0.829,0.92,College
Aslam,Gau,932,-0.027,0.547,0.867,College
Greenberger,Gau,353,0.03,0.92,0.88,College
Marcus,Gau,430,0.02,0.906,0.929,College
Clark,,220,0.17,0.9,0.8,College
Giluk,,377,0.02,0.7559,0.795,
Nguyen,,278,0.13,0.86,0.77,College
Noel,,302,0.03,0.7559,0.795,College
Salgado,,406,0,0.92,0.87,College
Stanescu,,252,0.12,0.9,0.951,College
Stone,,241,0.14,0.89,0.89,College
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
