Author(s),Year/Info,n,r,rxx,ryy,,School Type,,
Roig & DeTommaso,Averaged cheating/plagiarism,58,-0.24,0.93,0.81,,College,,
Antion & Michael,,148,-0.2,0.93,1,,Community College,,
Baird,,200,-0.34,0.93,0.943,,College,,
"Brunell, Staats, Barden, & Hupp",,99,-0.14,0.93,0.82,,College,,
McCabe & Trevino,,1645,-0.22,0.93,0.83,,College,,
Diekhoff et al.,,379,-0.225,0.93,0.602,,College,,
Diekhoff et al.,,474,-0.135,0.93,0.602,,College,,
Greenberger et al.,,353,-0.05,0.93,0.88,,College,,
Haines et al.,,314,-0.23,0.93,0.602,,College,,
"Vendehey, Diekhoff, & LaBeff",,401,-0.19,0.93,0.602,,College,,
Clariana,2012,171,-0.26,0.93,0.85,,College,,
Tibbets,,598,-0.04,0.93,0.602,,College,,
"Marsden, Carroll, & Niells",Composite,954,-0.175,0.93,0.85,,College,,
Bodey,,170,-0.22,0.93,0.79,,College,,
Nelson,,256,-0.16,0.93,0.9,,College,,
Chase,,2300,-0.037,0.93,0.782,,College,,
Johnson,2018,277,-0.12,0.93,0.81,,College,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,28,
,,,,,,,,,0.795
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
